dataset,pc,rank_within_dataset,feature,loading,abs_loading
1st trimester,1,1,t1_GAD7_4,0.2044598274754326,0.2044598274754326
1st trimester,1,2,t1_PHQ_2,0.20158602878164722,0.20158602878164722
1st trimester,1,3,t1_GAD7_1,0.1987387180001793,0.1987387180001793
1st trimester,1,4,t1_DES_26,0.19299960715743034,0.19299960715743034
1st trimester,1,5,t1_GAD7_6,0.1913585461160926,0.1913585461160926
1st trimester,1,6,t1_PHQ_1,0.18965472497906002,0.18965472497906002
1st trimester,1,7,t1_GAD7_3,0.18931349140308065,0.18931349140308065
1st trimester,1,8,t1_DES_13,0.17970016167196595,0.17970016167196595
1st trimester,1,9,t1_PHQ_8,0.17566907311337476,0.17566907311337476
1st trimester,1,10,t1_PHQ_3,0.17261588614249473,0.17261588614249473
2nd trimester,1,1,t2_GAD7_4,0.3210265932770537,0.3210265932770537
2nd trimester,1,2,t2_GAD7_1,0.31527321473878195,0.31527321473878195
2nd trimester,1,3,t2_GAD7_3,0.30694950035123025,0.30694950035123025
2nd trimester,1,4,t2_PHQ_2,0.30040943625094924,0.30040943625094924
2nd trimester,1,5,t2_GAD7_2,0.29604198287930966,0.29604198287930966
2nd trimester,1,6,t2_PHQ_4,0.2703306719938155,0.2703306719938155
2nd trimester,1,7,t2_GAD7_6,0.26037669313656997,0.26037669313656997
2nd trimester,1,8,t2_PHQ_6,0.2365895021872512,0.2365895021872512
2nd trimester,1,9,t2_PHQ_10,0.2309831313735371,0.2309831313735371
2nd trimester,1,10,t2_PHQ_9,0.22122902666642266,0.22122902666642266
3rd trimester,1,1,t3_GAD7_1,0.3190958773739215,0.3190958773739215
3rd trimester,1,2,t3_GAD7_4,0.3016896278529534,0.3016896278529534
3rd trimester,1,3,t3_GAD7_2,0.28388660858187953,0.28388660858187953
3rd trimester,1,4,t3_GAD7_3,0.2835498376283223,0.2835498376283223
3rd trimester,1,5,t3_PHQ_7,0.2744153320297968,0.2744153320297968
3rd trimester,1,6,t3_PHQ_2,0.26914221627311374,0.26914221627311374
3rd trimester,1,7,t3_PHQ_6,0.2677125855371666,0.2677125855371666
3rd trimester,1,8,t3_PHQ_10,0.25808303373952385,0.25808303373952385
3rd trimester,1,9,t3_PHQ_1,0.2562445078460647,0.2562445078460647
3rd trimester,1,10,t3_PHQ_8,0.22750076420475904,0.22750076420475904
Post pregnancy,1,1,after_GAD7_4,0.1600831582357904,0.1600831582357904
Post pregnancy,1,2,after_DERS_30,0.15808836493244885,0.15808836493244885
Post pregnancy,1,3,after_GAD7_1,0.14903644908658573,0.14903644908658573
Post pregnancy,1,4,after_DERS_11,0.14549871639233625,0.14549871639233625
Post pregnancy,1,5,after_DERS_16,0.1420333952855413,0.1420333952855413
Post pregnancy,1,6,after_DERS_15,0.1416950268596324,0.1416950268596324
Post pregnancy,1,7,after_DERS_5,0.1403154381120587,0.1403154381120587
Post pregnancy,1,8,after_DERS_23,0.1371936197728939,0.1371936197728939
Post pregnancy,1,9,after_PHQ_2,0.13715882759333387,0.13715882759333387
Post pregnancy,1,10,after_DERS_25,0.13612136236047867,0.13612136236047867
Pre pregnancy,1,1,b_DERS_30,0.16577194312531957,0.16577194312531957
Pre pregnancy,1,2,b_DERS_25,0.16146148181423386,0.16146148181423386
Pre pregnancy,1,3,b_DERS_29,0.14979266531607086,0.14979266531607086
Pre pregnancy,1,4,b_DERS_22,0.14673656525499895,0.14673656525499895
Pre pregnancy,1,5,b_LHQ_4,0.1442890624976905,0.1442890624976905
Pre pregnancy,1,6,b_LHQ_7,0.1440046102297389,0.1440046102297389
Pre pregnancy,1,7,b_DERS_15,0.1437590588249753,0.1437590588249753
Pre pregnancy,1,8,b_ctq_28,0.14131416254240978,0.14131416254240978
Pre pregnancy,1,9,b_DERS_36,0.14113416372787735,0.14113416372787735
Pre pregnancy,1,10,b_DERS_19,0.13976673658584313,0.13976673658584313
